_id,Study,Province,Location,Infrastructure,Infrastructure Component 1,Infrastructure Component 2,Climate Parameter,Climate Parameter General,Risk,Risk (Current),Risk (Short Term),Risk (Medium Term),Risk (Long Term)
90,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Water System,Stormwater,Wind,Wind,NAN,NAN,NAN,NAN,NAN
91,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Wind,Wind,NAN,NAN,NAN,NAN,NAN
92,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Runway,Wind,Wind,NAN,NAN,NAN,NAN,NAN
93,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Wind,Wind,NAN,NAN,NAN,NAN,NAN
94,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Wind,Wind,NAN,NAN,NAN,NAN,NAN
95,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Wind,Wind,NAN,NAN,NAN,NAN,NAN
96,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Wind,Wind,Med,NAN,NAN,Med,NAN
97,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Wind,Wind,NAN,NAN,NAN,NAN,NAN
98,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Wind,Wind,NAN,NAN,NAN,NAN,NAN
99,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Alaram System,Wind,Wind,NAN,NAN,NAN,NAN,NAN
100,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Wind,Wind,NAN,NAN,NAN,NAN,NAN
101,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Wind,Wind,NAN,NAN,NAN,NAN,NAN
102,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Lighting,Wind,Wind,Med,NAN,NAN,Med,NAN
103,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Lighting,Wind,Wind,NAN,NAN,NAN,NAN,NAN
